,custom_distance,artist,song_name,preview,type,id
1448,0.4856601976060612,Birdy,Not About Angels,,,5sF7hdYvhrcgNq8NZjfK8L
1449,0.48565590967756406,Asha Bhosle,Gavoo Ya Gavoo Ya,,,2rVl9Q2o20EJ3Kwvdpkr7Q
1450,0.4856447039030669,Jillian Edwards,All My Christmases,https://p.scdn.co/mp3-preview/1debb5bbf4c86c5a61799dd5886f29c01eb3cd06?cid=99f699c35c2d4667917d680d9134d27e,holidays,7M3k7CQYsEOknxlCrXgj1D
1451,0.48561797199137063,"Phillipa Soo, Anthony Ramos, Lin-Manuel Miranda, Renée Elise Goldsberry",Take a Break,,,2qFIJT5hjqaNFA1GKwl9me
1452,0.485614720003997,"The Soggy Bottom Boys, Dan Tyminski",I Am A Man Of Constant Sorrow - Radio Edit,,,0YwNdeDFbGP6AGwsQrtzdY
1453,0.48553635275085716,Café Tacvba,Esa noche,,,2jggaUpOvn2G6Pv2HCEU6m
1454,0.4855321203914804,Liam Payne,All I Want (For Christmas),,holidays,7lbto9KYTHq5V1PetjIMOF
1455,0.4855146586573868,"Eartha Kitt, Henri Rene & His Orchestra",Santa Baby (with Henri René & His Orchestra),,,1foCxQtxBweJtZmdxhEHVO
1456,0.4855005827176886,Jack Johnson,Banana Pancakes,,,451GvHwY99NKV4zdKPRWmv
1457,0.48547970107198696,Israel Kamakawiwo'ole,Over the Rainbow,,,3oQomOPRNQ5NVFUmLJHbAV
1458,0.485416524416375,Bobby Helms,Jingle Bell Rock,,,3hBXvHLlTHvnbwrPbeoyAj
1459,0.4854051129823756,Jenni Rivera,La Gran Señora,,,3Q9Q9rYI2hwYZNl0Mmc2FB
1460,0.48538346202553156,Tyler Childers,Coal,,,3Fq4shhJdENQhwlLk9qoDx
1461,0.4853167869198149,EDEN,drugs,,,3OXpdrHLT4IqM76RajgM6Q
1462,0.48529456887870204,The Chi-Lites,Oh Girl - Live,,,1clImNojym4goNxc3Sbdd2
1463,0.4852469580951058,Caamp,Misty,,,0jX7GLf5pVGZpchy64sluA
1464,0.4852434114127871,Hailee Steinfeld,Wrong Direction,,,5Qsp8mtshe70DX7EYbWZGo
1465,0.4852231943035414,Mel Carter,"Hold Me, Thrill Me, Kiss Me",,,5XPwkZ7vNxeidpNLAkwtFp
1466,0.48520125832405864,Men I Trust,Lauren,,,7vptmeNwSEVkcwDdqk7UQO
1467,0.48518725960811704,Sam Cooke,You Send Me,,,5aivQ5CkXXHJoMLy0o92HL
1468,0.4851482785608056,The Persuaders,Thin Line Between Love and Hate,,,6uDRZi9MOTtkuNUHMfREib
1469,0.48513426206304805,Fra Lippo Lippi,Later,,,0ruaKNagIPtBbZSDErugr7
1470,0.4851053210221445,Vicente Fernández,A Mi Manera - Tema Remasterizado,,,0lYBx37mRl0dbP7gF1yzh5
1471,0.4850865968194294,Josh Gad,When I Am Older,,,1Tt7zr1yDbKbT8L4jzSZ74
1472,0.48501459964761745,Smokey Robinson & The Miracles,Ooo Baby Baby,,soul,3nsJGZ5RV2ZHkbKvD771gU
1473,0.484931677773963,Wilco,"Jesus, Etc.",https://p.scdn.co/mp3-preview/f0be3e4391b1c65468aa9deb6fd506396ab9fed3?cid=99f699c35c2d4667917d680d9134d27e,chill,4wd09wCccmxUB7XVJp0RNn
1474,0.4849223643140346,Aaron Neville,Please Come Home For Christmas,,,00TuAlmDT4ILjpoQEIsRlP
1475,0.48489435588304247,Emmanuel,Todo Se Derrumbó Dentro de Mí,,,4hWUYwFwJKpu4o49Gon76Z
1476,0.4848774330429062,"P!nk, Indigo Girls",Dear Mr. President (feat. Indigo Girls),,,6ndF1XQNseMhJGp7wAAILs
1477,0.48486679651524,Tyler Ward,ME! - Acoustic,https://p.scdn.co/mp3-preview/618486c305ea6009526b3a5bf26078f94e378904?cid=99f699c35c2d4667917d680d9134d27e,pop,3Mn2gxTF8OGsJXHc72lxyK
1478,0.4848233927264421,The Beatles,I'll Follow The Sun - Remastered 2009,,,45WX2cfbL8bCIqv3rOq1G3
1479,0.4848214540464421,Petula Clark,Downtown,,,0ZQ6ckgerHYM5mOUxTl99Q
1480,0.4847755989496661,Van Morrison,Tupelo Honey,,,5G4W4UzaJIpYl0ar95Cs17
1481,0.48471870208093026,FKA twigs,sad day,https://p.scdn.co/mp3-preview/5239b59f59f3aa1b4793bcc686cdc46bec0a7e47?cid=99f699c35c2d4667917d680d9134d27e,pop,6QRW5LyXtArAKluiyYfUA3
1482,0.48471719572900107,Christina Perri,Jar of Hearts,,,0HZhYMZOcUzZKSFwPOti6m
1483,0.4847018761279646,Rayland Baxter,Olivia,,,40DGtj95w54IDSbA7BWn3o
1484,0.484673712634564,Mason Jennings,Santa Claus Is Coming To Town,,,3sS5Mr9OJCJXyRuESUNIbM
1485,0.4845958191754068,The Flamingos,I Only Have Eyes for You,,,3YdKJzcoMZMacISlpY4QoP
1486,0.48456354914262656,Tank,Somebody Else (feat. JoJo),https://p.scdn.co/mp3-preview/d517b7dae776a2588ff01280c56fb347d550531f?cid=99f699c35c2d4667917d680d9134d27e,toplists,2fpVvARsopfxhvNaUMwvS6
1487,0.4845527007973352,New Edition,Can You Stand The Rain,,,1vbe9sh7U9vdMceAhitWr2
1488,0.48452755193966107,Silk,Lose Control,,,2PtwvKN5m8B0HVel2kOdoX
1489,0.4844999635370221,Milky Chance,Down By The River,,,7HNpXPaTcX5CoNBjTAEWBr
